genre,id,name,artist,cluster
argentine rock,3SqdNG4NyJwUNguqrmGtZ1,Incontinencia Verbal,Las Pastillas del Abuelo,2
argentine rock,3SzuLiXQ0rsRRnt8mMXrNo,Price for freedom,La Franela,2
rock uruguayo,3iOFY423D3690MfhE74F8A,21 de septiembre,El Cuarteto De Nos,2
argentine rock,5px66MtTBtuiCuX4yhqNdr,Por Colectora,Las Pastillas del Abuelo,2
argentine rock,6tsl5di0G2WX2vkmCiESeH,Enano,Las Pastillas del Abuelo,2
argentine rock,3Azo521e0Tacq8znJWaDQO,Otra Vuelta de Tuerca,Las Pastillas del Abuelo,2
lo-fi vgm,1XVunUrydy4GwHcz9LheFE,Haggstrom,Curly,9
argentine rock,1wLYrmTo3HtsoTzfQnRZUY,Ojos de Dragón!,Las Pastillas del Abuelo,2
rock uruguayo,7AVpYzzLEQeMoeSq190Ncy,Fiesta en lo del Dr. Hermes,El Cuarteto De Nos,2
latin alternative,4MPwBYidOWnwpKlqQYJEzX,Va A Escampar,La Vela Puerca,1
electronica argentina,2wVk026aPEMxofNQvBIr8n,Me Gustas Tanto (feat. Sidonie),Miranda!,2
latin hip hop,0QUWDjKdItXClpaDbeaTAf,Quien Manda,Mala Rodríguez,4
cantautor,5lsQpCUKFaqaBGUAl9rZPR,Cum Laude,El Niño de la Hipoteca,2
rock uruguayo,2a7UjwEFKZcmwxglvwpBb3,Invierno del 92,El Cuarteto De Nos,2
rock uruguayo,1ozuMsJLTvFIMvlW7AWq95,Ya No Sé Que Hacer Conmigo,El Cuarteto De Nos,2
rock uruguayo,3tUk2PzTp8KCIU4cxstJq1,Yendo a la Casa de Damián,El Cuarteto De Nos,2
rock uruguayo,5U4l5prXjPGv5fnP8nZ3kK,Hoy Estoy Raro,El Cuarteto De Nos,2
rock uruguayo,0ePp0z6IzzKip3DQVw2S5Z,Todos pasan por mi rancho,El Cuarteto De Nos,2
rock uruguayo,0m29Kyrm8caxQ22r1rZ4wn,El balcón de Paul,El Cuarteto De Nos,2
rock uruguayo,35LdDKNMwvKftENaj1WIwF,Enamorado tuyo,El Cuarteto De Nos,2
rock uruguayo,4LFrQltHBSWQ187o7oWJcS,Sólo estoy sobreviviendo,El Cuarteto De Nos,2
rock uruguayo,7pJzbW7hZ1yOLUBqRq5ZBt,Hola Karma,El Cuarteto De Nos,2
rock uruguayo,0YOwYApHSciCRtZmKTEgEa,Mirada de Nylon,El Cuarteto De Nos,2
rock uruguayo,2TEnceAmZQR6bLLo5Fx7q9,Calma Vladimir,El Cuarteto De Nos,2
rock uruguayo,5H8M2ffRKcdqJTc6YTt4c2,El Innombrable,El Cuarteto De Nos,2
rock uruguayo,1Bo2c0WwPmzognDcmLFNMe,Invisible,El Cuarteto De Nos,2
