genre,id,name,artist,cluster
classic peruvian pop,2Ovxs4W5CIMcOIPLJq89ge,Déjalos,Los Embajadores Criollos,1
dance pop,6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,1
dance pop,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,1
dance pop,6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,1
folk metal,7AqteBGkJ5edFjEfYf8mXf,Liki Bessmertnykh Bogov,Arkona,1
latin alternative,68WeKkXsg8jUZ57t3bz6qe,Yo Me Voy Pa' la Cumbia,Sergent Garcia,1
emo,04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,1
alternative metal,0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,1
alternative metal,6Nm8h73ycDG2saCnZV8poF,Dragula,Rob Zombie,1
alternative metal,3Tg8JctqoeIwZ3Rue8BjaI,Ratamahatta,Sepultura,1
emo,3Te8uLyit6X3ncNW8Fp3K2,Immortals,Fall Out Boy,1
album rock,47atuTch0AN7NvP9vp42a5,Ramble Tamble,Creedence Clearwater Revival,1
death metal,69Yia3qCLw6N9U80WhLwLn,Voice of the Soul,Death,1
album rock,3q9G9SvgdfE1fxlvoDIb20,Paranoid,Black Sabbath,1
mexican hip hop,4dUES55SAFKZp4ekMlLHWZ,NO SON KLLE,Santa Fe Klan,0
argentine hip hop,1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,LIT killah,0
rap politico,48vnZJGacXc78tqN9gcNPZ,Todo Lo Que Importa,SFDK,1
boom bap espanol,41wVwJUWk1urN57CfAajMJ,Cleopatra,Rapsusklei,1
rap politico,3OC3AO2zGgcyM7pAFO47YZ,Yemen,Kase.O,1
british orchestra,14Qcrx6Dfjvcj0H8oV8oUW,"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,1
pop peruano,2O1EHaqGqQjAqshMGOBfyB,Amor De Etiqueta,La Caro Band,1
metropopolis,6IbnUaczZBT34DhaD6S18F,Bubblegum Bitch,MARINA,1
ambient lo-fi,1lb3H41lbvAN28N7yqRNL9,Idea 10,Gibran Alcocer,1
ambient,1Kb2DqjHRvOcT5xeWtz3t5,Ferme Les Yeux,Sylvain Chauveau,1
background piano,1yqM5O07lL7R6UAdK5jvrR,Oceans Apart,Ben Crosland,1
pop argentino,5eujblqQ4RS7WDwyqZuMrf,Martes Otra Vez (feat. Roberto Musso),Meteoros,1
cello,6HkGQ1F0ZtPHbnp1GCdLZK,Opheliac,Emilie Autumn,1
boom bap espanol,46RHz0aqfrwRmGMdEgenL4,Tantas Veces Dijeron,Rapsusklei,1
piano rock,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,1
singer-songwriter pop,5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,Nicky Youre,1
eurodance,52Zr0sinhWTCRrQhRRY4EP,Dragostea din tei,O-Zone,1
flamenco fusion,7LrvlNIlAjAHVam2XbfN0N,La Rumba del Tartamudo,TéCanela,1
rap politico,7zrmKJCfEHluOWJy8LFnTs,Ringui Dingui - con SFDK,Kase.O,1
rap politico,3qwcu0SWVoSLHvlhV41uia,Tu Viento - Versión Deluxe,SFDK,1
rap politico,2w9wysl19C7xQxQYN0S2p1,Todo Lo Que Importa,SFDK,1
rap politico,4Vr8wfwNnm1HI4pfuANcd4,Orgullo Banderillero,SFDK,1
mestissatge,749H5Zv3UejDRqMtE1UEAp,Sereno,ZOO,1
rap politico,289zheQgtKtJ3qhK5YlDTU,Ser Feliz y No Llorar en el Intento,SFDK,1
argentine rock,7Gjlbz4TEoeBGH43eEd3hs,Como Alí,Los Piojos,1
rock uruguayo,5N9eyuZBayG61LAuriCFAr,Vamo a Bailar a Tribunales,Alan Sutton y las criaturitas de la ansiedad,1
pop peruano,70tMZ6zOtPq18HMVPUgTyo,Solo una Vez,La Caro Band,1
rap politico,75cH5pVAqBto7c2yyCy4It,Creencias Personales,SFDK,1
rap politico,3MFXvcV1mR0ZS1h7aWx4kv,Jawelin,SFDK,1
argentine rock,4VikOud5ZmdmHH6h7uQeDB,Nos Siguen Pegando Abajo,Charly García,1
indie extremena,7qsVi4WfUTu87SoDMDi6wX,Escorpiones de Tequila,BAMBIKINA,3
indie poptimism,6ytwjgwBRxYTUxYJbbkCtf,You're so Cold,Two Feet,1
chicago rap,0USZx50eApN045zIIyjePN,All The Time,Jeremih,1
pov: indie,7tySfDFfBiCjraLdoy6In5,Put It on Me,Matt Maeson,1
indie poptimism,6MiVIH3fQlmz44jGx2DXn4,Love Is a Bitch,Two Feet,1
otacore,5T3CKcSWLdue0NWwvF93fI,It's Raining Men,The Living Tombstone,1
disco,2IvetNzSZMH5gwjInoyr18,It's Raining Men,The Weather Girls,1
folk,2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,1
pop flamenco,6pWeJvzpQR1ihiUSJklOzD,Paseo,Estopa,1
boom bap espanol,447r2keRxpkINmWYp83MlH,Maquiavélico,Canserbero,1
trap argentino,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,Taiu,1
classical,02Wse1w8jxhXo5T7kRXgIe,"Leck mich im Arsch, K.231",Wolfgang Amadeus Mozart,1
rock uruguayo,20n9GjrKJBmN7nMEb21cxc,Que Empiece el Juego,El Cuarteto De Nos,1
alternative metal,1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,System Of A Down,1
sad rap,3M214U0mwSm041GsQR3nrO,Toxic,BoyWithUke,1
sad rap,6dGqGkYDoRrKh5UiIcTT22,Understand,BoyWithUke,1
sad rap,4YLKHaxYieIw6iMVfIvKm7,Migraine,BoyWithUke,1
sad rap,4ZUpTMKPYFTfJqamWFU9Zv,IDGAF (with blackbear),BoyWithUke,1
sad rap,5IXdkgrT4lb9sKIb8tbOQ3,Sick of U (with Oliver Tree),BoyWithUke,1
alternative hip hop,1ypwNj8eK2qAMDEs4EiIIX,Miss You - Bonus Track,Oliver Tree,0
melodic rap,3gr1pMLpDJGqErHhhl7dEO,thought it was,iann dior,1
art pop,4BY4V1T0RJK1HmD2Q0ClyK,Oblivion,Grimes,1
electropop,5DMrREzztuMUkLMDjMpJNY,Trampoline - Jauz Remix,SHAED,1
modern rock,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1
punk urbano,0tr3v4Xa72pzKRlqb7v4Lu,Trasegando,Marea,1
spanish punk,7svugfnT2bGt8zZTfVIclr,Lobos,Kamikazes,1
sonora indie,7fBJbfwWRSCje16iboEAF7,Venimos del Desierto,Nunca Jamas,1
indie extremena,5Srks36XWpQoF47EYF7ExI,Rojitas,Extrechinato y Tu,3
icelandic indie,0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,1
argentine rock,2C6fzRAlaWOhKCOsn5a0Nk,Lo Que Me Mata,La Franela,1
russian synthpop,41rML4de6ySFAEgusyvq3R,Юность,почтисчастье,1
argentine indie,0cc3HERtXGbBijz4EGqIWW,Asado de fa,Sara Hebe,1
rock uruguayo,4LAL36nGagL2EYjnXEz3vV,Insaciable,El Cuarteto De Nos,1
argentine rock,3SqdNG4NyJwUNguqrmGtZ1,Incontinencia Verbal,Las Pastillas del Abuelo,1
argentine rock,3SzuLiXQ0rsRRnt8mMXrNo,Price for freedom,La Franela,1
rock uruguayo,3iOFY423D3690MfhE74F8A,21 de septiembre,El Cuarteto De Nos,1
argentine rock,5px66MtTBtuiCuX4yhqNdr,Por Colectora,Las Pastillas del Abuelo,1
argentine rock,6tsl5di0G2WX2vkmCiESeH,Enano,Las Pastillas del Abuelo,1
argentine rock,3Azo521e0Tacq8znJWaDQO,Otra Vuelta de Tuerca,Las Pastillas del Abuelo,1
lo-fi vgm,1XVunUrydy4GwHcz9LheFE,Haggstrom,Curly,1
argentine rock,1wLYrmTo3HtsoTzfQnRZUY,Ojos de Dragón!,Las Pastillas del Abuelo,1
rock uruguayo,7AVpYzzLEQeMoeSq190Ncy,Fiesta en lo del Dr. Hermes,El Cuarteto De Nos,1
latin alternative,4MPwBYidOWnwpKlqQYJEzX,Va A Escampar,La Vela Puerca,1
electronica argentina,2wVk026aPEMxofNQvBIr8n,Me Gustas Tanto (feat. Sidonie),Miranda!,1
latin hip hop,0QUWDjKdItXClpaDbeaTAf,Quien Manda,Mala Rodríguez,0
cantautor,5lsQpCUKFaqaBGUAl9rZPR,Cum Laude,El Niño de la Hipoteca,1
rock uruguayo,2a7UjwEFKZcmwxglvwpBb3,Invierno del 92,El Cuarteto De Nos,1
rock uruguayo,1ozuMsJLTvFIMvlW7AWq95,Ya No Sé Que Hacer Conmigo,El Cuarteto De Nos,1
rock uruguayo,3tUk2PzTp8KCIU4cxstJq1,Yendo a la Casa de Damián,El Cuarteto De Nos,1
rock uruguayo,5U4l5prXjPGv5fnP8nZ3kK,Hoy Estoy Raro,El Cuarteto De Nos,1
rock uruguayo,0ePp0z6IzzKip3DQVw2S5Z,Todos pasan por mi rancho,El Cuarteto De Nos,1
rock uruguayo,0m29Kyrm8caxQ22r1rZ4wn,El balcón de Paul,El Cuarteto De Nos,1
rock uruguayo,35LdDKNMwvKftENaj1WIwF,Enamorado tuyo,El Cuarteto De Nos,1
rock uruguayo,4LFrQltHBSWQ187o7oWJcS,Sólo estoy sobreviviendo,El Cuarteto De Nos,1
rock uruguayo,7pJzbW7hZ1yOLUBqRq5ZBt,Hola Karma,El Cuarteto De Nos,1
rock uruguayo,0YOwYApHSciCRtZmKTEgEa,Mirada de Nylon,El Cuarteto De Nos,1
rock uruguayo,2TEnceAmZQR6bLLo5Fx7q9,Calma Vladimir,El Cuarteto De Nos,1
rock uruguayo,5H8M2ffRKcdqJTc6YTt4c2,El Innombrable,El Cuarteto De Nos,1
rock uruguayo,1Bo2c0WwPmzognDcmLFNMe,Invisible,El Cuarteto De Nos,1
rock uruguayo,6H4x2MIySKNhrXdLkLJvcy,Fallaste Nostradamus,El Cuarteto De Nos,1
rock uruguayo,5wjFUjiT4gKddiTX9urqN2,Contrapunto para Humano y Computadora,El Cuarteto De Nos,1
cantautor,43HJPKlwZ5jRrMnMfLcQ2T,El Perro Freddy,El Niño de la Hipoteca,1
punk urbano,0VQW5MJ1BP3FntQ9IzFBNM,Actitud,Gritando en Silencio,1
indie extremena,1FKKvyrgMdJFwf0NdM7P5Q,Cerca del suelo,Extremoduro,3
rap metal espanol,2v7exGU90YFXvlxUJ9dFvQ,Cristales Rotos,Sons of Aguirre,1
ska espanol,7CXXzq7SIdH3I4L8m5P5h2,Solo Quiero de Ti,La Raíz,1
rock uruguayo,5hXCTV8OCsNak8OVry7yzM,Bugambilia,Nasa Histoires,1
indie extremena,5WWxj79hWjVq0wIBDCIw7T,Primer movimiento: Después de la catarsis,Robe,3
rock uruguayo,5wNZtFOmq64IAq7tKkIv8d,Gaucho Power,El Cuarteto De Nos,1
rap conciencia,0IfDzKy3k1t6OlfR1Zbo1B,"Ven, Pasa",ZPU,1
latin hip hop,689o09PSSPw3BxnZHk2hNC,Quien Manda,Mala Rodríguez,0
rock uruguayo,0j5u5RCr7LV4weyJdxkgR6,Nombres,El Cuarteto De Nos,1
classic russian rock,3NHSz1GyC5IeK1soZSjIIX,ИСКАЛА,Zemfira,1
alternative rock,6NFVDhRQpIueOxYuw5vQlz,Burning Down the House,Talking Heads,1
eurodance,6E0QvksY8P840Sg2kzPUoy,Scatman & Hatman,Scatman John,1
eurodance,6dugx9WBSS8TDxbKqp9zmj,Scatman's World,Scatman John,1
alternative metal,0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,Sum 41,1
argentine rock,5s8onl5Lw5q1AijP5BUm7G,La mano de Dios (Homenaje a Diego Maradona),Rodrigo,1
lo-fi vgm,3hdQekpCI2L2j15XwIG2Bd,Kass' Theme,Mikel,1
anime lo-fi,2UpDlIw9aI9gK0GphKQjZ8,SAD! ~ lofi,Closed on Sunday,1
indie extremena,6byvMlUkFmNZIl8aprXRhL,Cuarto movimiento: Yo no soy el dueño de mis emociones,Robe,3
indie extremena,63Zg2q0NxOIoVu7olYHl9t,Segundo movimiento: Mierda de filosofía,Robe,3
rock uruguayo,7DVhr2t5x2GLwhU3yFS3p1,Rapp Snitch Knishes (Live Instrumental) - Cover,OMA,1
rock uruguayo,6q6YaZyb5MDaPofi60yeew,Furret Walk 8-Bit (Accumula Town),Henriko 8-Bit,1
rap galego,7f1MocyOZrNKWgHKfyRHbo,Bailar morghulis,Día Sexto,1
rap galego,4zF2MQued46ZoyOm8YQpyw,Más,Día Sexto,1
reggae catala,2NK6Gq7j1plxRtAyYKdoKp,Rua Na Selva,Nativa,1
anime score,0HDh5QaLfCwi2xyvkei917,Sis puella magica!,梶浦 由記,1
argentine rock,29iIRrSuANyjnwag69PHOJ,Demoliendo Hoteles,Charly García,1
argentine rock,34BMzIFvpIgacpqUvuNpOT,Maldición,Once Tiros,1
musique militaire,6zI4eWfBKdujnnLmXTIHqJ,Моя любимая,The Red Army Choir,1
classic schlager,31wVu1EYhWOFCECXTqLWQ4,Moskau,Dschinghis Khan,1
rock uruguayo,2ltWiec0N2xBIu5Hvi5uM4,The Less I Know the Sexy Back,Gold Slides,1
trap argentino,1DxEbt6OSbrkRthk6pjZue,MERCHO,LiL CaKe,1
rock uruguayo,3RRb7m7zpenaWk4wyqcnm3,"Yes, the Music Is a Feeling",your best friend jippy,1
lo-fi vgm,1kAg9rfHsyoYLEi7GxA4nM,Tal Tal Heights,Mikel,1
indie arequipeno,4imCqtH8ZVmovPcozJKIom,Mamá No Me Quiero Casar,XDinero,1
spanish indie pop,78CVgSm8s9pfpwCqvqzEYB,PRMVR,La Maravillosa Orquesta del Alcohol,1
mestissatge,1DtrlY4mOFrtuqgMYjXVJL,Rituales de Santería,ZOO,1
spanish indie pop,0fZgVsd0Bk64cAUOcUnQ0X,Vasos Vacíos,La Maravillosa Orquesta del Alcohol,1
lo-fi vgm,0c4KyvtJPmHd5mnXYE5QnZ,Song of Storms,Mikel,1
chilean rock,2kRGvesjW6DsXPfSrhjYVp,Mateo,Tronic,1
rock uruguayo,4JkQU5XnvMu7WroV5QEZa6,Bipolar,El Cuarteto De Nos,1
latin alternative,270ieNCOt945nOdUQubFI5,Para No Verme Más,La Vela Puerca,1
argentine rock,5i9BN55sSR94Lfdes8seDp,Nos dijimos todo,Once Tiros,1
argentine rock,34CKJs7AevJpbrE53OFJwO,Lacanao,Once Tiros,1
rap conciencia,2Lo6jY6P6iiGMOfkx5N5Kt,Un Nuevo Yo Despierta,El Chojin,1
rap politico,008BXU3kzngyZKVSjCyxpE,Un Pobre Con Dinero,SFDK,1
boom bap espanol,0Ao7UyZ0IcKH9WQitKd0EL,Mañana Será Otro Día,Canserbero,1
spanish hip hop,1jCBQphSQvBNDsCKYAxtP5,Con la Música a Otra Parte,Sharif,0
rap politico,0PHtFrmcK2kcUVkjb4auvj,Lucifer,SFDK,1
latin viral pop,1B0BQaSRHxhI0AUlItY3LK,MALAMENTE - Cap.1: Augurio,ROSALÍA,1
cumbia pop,0YFoSD5VhoVrRbrnFERpVM,Yo te propongo,Rombai,1
rock uruguayo,1MPWWVtOcbdVQQzv01ajl8,El Whisky de Dios - En Vivo,Zambayonny,1
argentine rock,283NIRno2srDoclKAPmk0F,El Favor,Las Pastillas del Abuelo,1
rock uruguayo,6KDSrToeuM3UGiqEB1qNRN,Tutank’mon,Alan Sutton y las criaturitas de la ansiedad,1
rock uruguayo,5DRQ4gbV0G3ZlCoNStk3CS,Hay Que Comer,El Cuarteto De Nos,1
pop flamenco,15m2Op4d1ZtX0ScPaDNKcd,Vino Tinto,Estopa,1
spanish folk metal,4s1LnLQZDVvAmzudHJs2kA,Goliardos,Lepoka,1
spanish indie pop,298w9ctLcj2YLvA17c6azA,Arte Moderno,IZAL,1
spanish indie pop,4hTXeWayUVMwoz6v1CviSN,Copacabana,IZAL,1
ska espanol,1kasAbWIuasNPe1wNQ29qZ,Muérdeles,La Raíz,1
rock uruguayo,59OZFynwa8dvBXCCGZKxCp,El Cuarteto Tapicero,El Cuarteto De Nos,1
boom bap espanol,6wLQT5JQj4Px9BbRn7Ylau,Los Locos,McKlopedia,1
rock uruguayo,0ohwsEUcp35gxowpLEx0os,Doble identidad,El Cuarteto De Nos,1
celtic metal,19vhfSUgVJO2enJ6XidUGO,Molinos De Viento,Mägo de Oz,1
argentine rock,1J7Shem8gdOSiB5oHOxwNM,Desde la Postura,Las Pastillas del Abuelo,1
celtic metal,0dQPkfweyWDzZ20Auq3F14,La danza del fuego,Mägo de Oz,1
rock uruguayo,76GLflx9QeYC0pjhYyASo7,Tiburones en el Bosque,El Cuarteto De Nos,1
pop flamenco,6VVBXRsXAuN5UvqKNw7j0l,Cacho a Cacho,Estopa,1
rock catala,7bRA9BXy3nNpTOvABDD6EM,Història d'Espanya (Explicada pels Espanyols),Brams,1
venezuelan hip hop,5UB4pyeyR7d4LLJfVN4Kis,Rap Bruto,Residente,0
rap conciencia,6MllW0bsv7ZRUPSUlzNrkR,Me Bajo,ZPU,1
boom bap espanol,2rGAIoUicUqQ1hK0YlRShJ,Llora,Rapsusklei,1
boom bap espanol,0DXPqpQC4HWt2RbcBv7ttW,Diluvio,Rapsusklei,1
boom bap espanol,19TGi5QfX6Xj1GuRvStcQ5,Simbolos,Rapsusklei,1
boom bap espanol,0cAJMbqcT7PZZ2FtlRZD0D,Enero,Rapsusklei,1
boom bap espanol,2THlf4MhAOjn2OpGCmOyUW,A Fuego,Rapsusklei,1
peruvian hip hop,6tR7jCnOKTWzhIMbDdXgSu,No Puedo,Gonzalo Genek,0
peruvian hip hop,3B56Mr3QophjrI2hB9R2qc,Amor Sin Contrato,Gonzalo Genek,0
ska,0DjSa6czo5ywsf6iCtZW5A,Cannabis,Ska-P,1
ska,0p3rxgmQPN5y6QEMzliGZc,Mis Colegas,Ska-P,1
hardcore punk espanol,1B2KqBbo71jf5n3lftM6G2,Inés,Boikot,1
indie extremena,4kJP8Z888wREJ8bRMWNMuk,La vereda de la puerta de atrás,Extremoduro,3
rock uruguayo,0tnUWBM4TDh9YiOh4XWPfF,Vino en Mi Jeringa,El Cuarteto De Nos,1
rock uruguayo,2qOvJOOTDDT4BzuN6gs9uE,Vino en Mi Jeringa,El Cuarteto De Nos,1
indie extremena,6DWAOntbxkpsgKs9iJDEhW,Locura transitoria,Extremoduro,3
musica popular uruguaya,4ejxQjTq8KyjfEHt6NbrYc,Muerto Pero Vivo - En Vivo,Cuatro Pesos de Propina,1
rap conciencia,3KCh9BNkDmh5NIr36w3ERX,Represento,ZPU,1
rap conciencia,3N17UG6Afw3DxXRcAmkOw5,Un Día de Furia,ZPU,1
rap conciencia,6KL2AJqqZhmGeQHBzHq92X,Ángel Guardián,ZPU,1
rap conciencia,3rvpRbeo8H1hwxtuj6REcp,Mamá Me Dijo,ZPU,1
rap conciencia,745kmHSwugfDhult82d47J,Respeta Tus Sueños,Locus,1
rap conciencia,5rGXHIBXrINjQuab5zLLKM,Mi Mejor Amigo,ZPU,1
rap politico,4Z1p2M8ycX5CGzovCXr1QL,Todo Lo Que Importa,SFDK,1
rap galego,381KeLD7eIbeSEzQmxRs7x,Non é verán de Estrella Damm,Ezetaerre,1
electronica argentina,4EtriYD2qsXOHLCtN9K4db,Don,Miranda!,1
chilean indie,4gRu8e9ohJhZx4i1DByb56,Estudiar y Trabajar,Ases Falsos,1
rap politico,0SG4xDNll1vn1JgIXBDvda,Señores en el Brunch,SFDK,1
rap politico,0bd6dXLLP9gU9R7ExxtJPi,Pandora,Mala Praxis,1
