Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3QaLlAMZDXa2s8eyVoowjw,"3OFrGQrdXwm0UgTERW6LAV","No Tengo Hambre, Tengo Ansiedad","Algo Tiene Que Cambiar","Alan Sutton y las criaturitas de la ansiedad",2023-05-19,134181,63,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"",0.644,0.727,9,-5.144,0,0.121,0.0845,0,0.313,0.654,167.922,4
18YCZgBpjvd7OiDzlqffj9,"3m1an5fzquhCtk4UnhmLmc","Ríe Cuando Puedas","Striptease","El Chojin",2015-05-24,221826,44,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rap conciencia,spanish hip hop",0.707,0.468,4,-12.814,1,0.462,0.792,0,0.11,0.74,91.73,4
0GDOu0iuMWjSNyq37706Yj,"13JJKrUewC1CJYmIDXQNoH","Un problema menos","Habla Tu Espejo","El Cuarteto De Nos",2014-10-06,214493,44,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.734,0.576,10,-8.296,1,0.0398,0.021,0.0000154,0.11,0.908,160.033,4
7MiZjKawmXTsTNePyTfPyL,"4dM6NDYSfLcspt8GLoT5aE","Devil Eyes","Providence","Hippie Sabotage",2016-02-05,131271,76,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"edm,electronic trap",0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,5
08jZu9HOb1jPh4U95n9Iso,"0VJOeGxVUWTGFR9ebjf4bB,7pa4Z64S1qU90QytnRJgoJ,2RPNbhguRnI9uqahGYcUc6,1a2gkj8MKAg0cMnMucsEg2","Santa Desesperanza","Fábulas de la Locura","Zumbadores,Arbolito,Eruca Sativa,Roberto Musso",2012-03-29,238852,33,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"argentine alternative rock,argentine rock,folklore argentino,rock nacional,argentine indie,indie cordoba,nuevo folklore argentino",0.604,0.923,0,-4.794,1,0.0345,0.0172,0,0.312,0.881,96.006,4
2tBOR5GtsrEUzvuvhHaiVU,"6rnhTcBQopDtry97jt9veG,6hYVAsBhX1PGAD9UnncaH8","Nocturno de la Estatua","Fuera de la Realidad","Otro Tavella & Los embajadores del buen gusto,Santiago Tavella",2017-08-19,157500,24,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"",0.608,0.549,4,-7.245,0,0.0324,0.3,0,0.248,0.41,135.978,4
0zpKWgFT6SpxQhGIlJRnFy,"6QEXex1iCdfguOLBPukfkm","Animales hambrientos","La Teoría del Fuego","Desakato",2016-03-09,201649,42,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"punk urbano,rock en asturiano,spanish punk",0.519,0.918,8,-5.539,1,0.0418,0.0017,0.0000776,0.164,0.447,96.051,4
5d0Keu9WXiN1XZsAG88VcF,"3bgsNtcf5d5h9jbQbohfBK","Primer movimiento: el sueño","La ley innata","Extremoduro",2008-08-26,363653,48,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"indie extremena,spanish rock",0.376,0.776,11,-5.806,0,0.0441,0.166,0.0295,0.187,0.371,144.148,4
5Kw1iXud2UNTfLfpIMDogG,"6QEXex1iCdfguOLBPukfkm","Seguimos vivos","Inercia","Desakato",2012-01-24,211440,21,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"punk urbano,rock en asturiano,spanish punk",0.51,0.912,6,-3.955,0,0.0509,0.0000498,0.00181,0.453,0.429,104.937,4
077xWZZIJMDRl1fLZSnwEB,"6QEXex1iCdfguOLBPukfkm","Octubres rotos","Con el viento de cara","Desakato",2008-02-01,201106,46,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"punk urbano,rock en asturiano,spanish punk",0.582,0.9,2,-5.185,1,0.0373,0.000153,0.000232,0.136,0.271,134.974,4
2xizRhme7pYeITbH1NLLGt,"3MKCzCnpzw3TjUYs2v7vDA,2tfWguHr2nj4e8KXLKciVq,5yxyJsFanEAuwSM5kOuZKc","Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Tchaikovsky: Swan Lake","Pyotr Ilyich Tchaikovsky,André Previn,London Symphony Orchestra",1976-01-01,166866,68,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"classical,late romantic era,russian romanticism,orchestral performance,british orchestra,orchestra",0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4
1aDeaDooAd79p2sdImGG4a,"3bgsNtcf5d5h9jbQbohfBK","Dulce introducción al caos","La ley innata","Extremoduro",2008-08-26,462013,57,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"indie extremena,spanish rock",0.332,0.683,7,-6.493,1,0.0402,0.0763,0.264,0.164,0.252,139.181,3
0WFryfbNKPXVtVQlz5dZ8H,"6qqNVTkY8uBg9cP3Jd7DAH","hotline (edit)","hotline (edit)","Billie Eilish",2023-05-09,60719,83,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"art pop,pop",0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,4
10rzSpg3kTFSr5e5tFy60A,"1LMyTeRhjaitILs98h3MaF","Pruébame a Ti","El Tiempo Locura Todo","Jósean Log",2020-08-14,193186,66,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"mexican indie",0.696,0.649,0,-7.284,1,0.0677,0.0232,0,0.187,0.75,136.875,4
0obx517J85Rq970CuInlDr,"7lN4AnSBcgqEyqVs5reCy2","tu refugio","Torre De Babel","Zenit",2006-06-06,108520,27,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rap conciencia,spanish hip hop",0.74,0.52,7,-8.122,1,0.521,0.0477,0,0.124,0.678,90.72,4
62xokumU0wMqOSsBuefhmB,"3ZtIhDSOuRkpDyqjx53X1R,2VSRhqonKsL7KRAIk8SMmt","Te Alejas Más De Mí","Si Volviera A Nacer","Esteman,Daniela Spalla",2021-05-28,219720,65,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"colombian indie,latin alternative,latin rock,tropical alternativo,cantautora mexicana,indie cordoba,mexican indie",0.664,0.674,8,-7.137,1,0.0315,0.248,0,0.159,0.844,179.969,4
7dU9Z24yR9AKuS9cAe2Tj7,"2DqzOWVL2ly48IA9bpZdie","Subjected to a Beating","Reign Supreme","Dying Fetus",2012-06-19,293386,44,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"brutal death metal,death metal,deathgrind,metal,technical death metal,thrash metal",0.231,0.983,8,-5.199,1,0.0977,0.000254,0.059,0.506,0.336,161.044,4
0YUSVg7dncF1TzZ3IFf6Zh,"4f9iBmdUOhQWeP7dcAn1pf","Disfigured","Disfigured - EP","Rag'n'Bone Man",2015-03-08,189613,39,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"neo soul",0.457,0.474,2,-5.38,0,0.0315,0.612,0,0.113,0.39,71.987,4
1v1oIWf2Xgh54kIWuKsDf6,"1WgXqy2Dd70QQOU7Ay074N","Runaway","All My Demons Greeting Me As A Friend - Deluxe","AURORA",2016-03-11,248826,76,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"art pop,norwegian pop",0.422,0.302,11,-9.214,1,0.0372,0.629,0.0000783,0.104,0.123,114.089,4
7HgG6kaNPUltGHFP6aIS4L,"5bt1p0ybrvQPJwt4YINGTF","Tu Vuo Fà L'Americano","I Piu Grandi Successi","Renato Carosone",1995-01-01,208826,58,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"canzone napoletana,classic italian pop,swing italiano",0.623,0.284,10,-10.81,0,0.35,0.738,0,0.0812,0.905,181.273,4
2kLWSmKHhfUBepkIA9oNe5,"6Ad91Jof8Niiw0lGLLi3NW","Abyss - from Kaiju No. 8","Abyss - from Kaiju No. 8","YUNGBLUD",2024-01-19,123293,74,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"british indie rock,modern rock,pov: indie,rock",0.576,0.808,1,-4.241,1,0.0407,0.00615,0,0.127,0.172,115.063,4
03jdl5GTBhKsgB1Yw8mVPh,"6vwjIs0tbIiseJMR3pqwiL","In Between","Disgusting","Beartooth",2014-06-10,213576,64,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"melodic metalcore,metalcore,pop punk",0.462,0.972,7,-2.642,0,0.138,0.00285,0,0.666,0.449,128.092,4
7ueP5u2qkdZbIPN2YA6LR0,"4njdEjTnLfcGImKZu1iSrz","Sail","Megalithic Symphony","AWOLNATION",2011-03-15,259093,73,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"la indie,modern alternative rock,modern rock,rock,stomp pop",0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,4
2XXP73OwM2WvZ2vcXAIDz3,"7rAjVJgwZhvmMIt5vfyNGn,04vnNnCkL6fGui3ATn2awd,6uFTGm4t8Z6tXyCm22sLQM","El Lado Oscuro del Corazon","Bajo Suelo","Costa,Carmona,Fyahbwoy",2013-11-15,237653,34,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rap underground espanol,spanish hip hop,urbano espanol",0.669,0.749,5,-4.404,0,0.307,0.0981,0,0.182,0.666,160.066,4
1W0OCrMsRP1SLTEdw3JwEz,"2Z7UcsdweVlRbAk5wH5fsf","Sweet Dreams, TN","Everything You've Come To Expect (Deluxe Edition)","The Last Shadow Puppets",2016-12-02,236252,62,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"baroque pop,modern rock,sheffield indie",0.282,0.566,11,-6.924,0,0.0291,0.000878,0,0.38,0.477,112.362,3
1T0kkgPuLxpEnIXV1NXGFf,"451DVjaBuGYfvDfvG9MxaG,56n1NeXsTOOxjX3Z4lVMTJ","Esta To Guapo","Cordura Transitoria","Rapsusklei,SFDK",2022-02-22,206008,34,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"boom bap espanol,rap conciencia,spanish hip hop,rap politico,rap underground espanol",0.874,0.86,7,-4.407,1,0.298,0.0843,0,0.142,0.879,114.988,4
5AIwfXYjGkWCs4KeeTk2Rq,"1DH9RJ0xBVje6gQmK3LWUY","Cantando","Vivir para Contarlo","Violadores Del Verso",2006,332853,53,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"boom bap espanol,rap underground espanol,spanish hip hop,venezuelan hip hop",0.826,0.765,0,-6.077,1,0.435,0.132,0,0.0555,0.849,90.628,4
4OWa2dOlmtvMDhFrFL0QA1,"0Lf3tvw0Rzwr38KDrShstn,6B3KK89Stpd0cBueX1oLzT","La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,67,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"classic soundtrack,french soundtrack,vintage french electronic",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
1Sz402s2SN6nPicOA8DPah,"05bZ3QOlK7vfflzspO0Jk5,00B9mff8749d1A2LOLH41b,2S1GntfP92SLbiPaiQsy8P","Saka Saka Saka","Saka Saka Saka","MC Mazzie,DJ NpcSize,DJ Wizard",2022-09-26,184080,57,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"funk mtg,phonk brasileiro",0.805,0.743,0,-7.244,1,0.0735,0.177,0.00155,0.149,0.612,130.143,4
7EZvohNWHJ6W3sDOEeBsoU,"7w79n5kCkTEaewxNBynvhM","Tu postura","Imán","Once Tiros",2011-08-05,220453,36,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"argentine rock,reggae uruguayo,rock uruguayo",0.587,0.883,5,-5.297,1,0.0346,0.0511,0.0000556,0.29,0.857,108.957,4
6Wv1yv5O9ZfzCdwEhuk31r,"2t4UlDofSDxweW751EVw9d","En Compostela","En Compostela","Dakidarria",2017-06-06,269177,29,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"galician rock,punk galego,spanish punk",0.55,0.909,10,-6.429,0,0.094,0.0047,0.00286,0.565,0.353,175.042,4
3MbNnqa8NahIrBdKRW2sX6,"6qO2fx56JkdCirbByg3Gko","Por Amar al Arte","Dormir Es de Cobardes","La Regadera",2019-02-22,220493,32,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"ska espanol",0.459,0.948,0,-5.9,1,0.14,0.0424,0.000107,0.0966,0.656,178.05,4
6lSypaQOcC6JtzfwpINLGW,"13JJKrUewC1CJYmIDXQNoH","El hijo de Hernández","Bipolar","El Cuarteto De Nos",2009-11-17,239293,64,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.73,0.866,7,-2.693,0,0.0263,0.0151,0,0.249,0.824,113.004,4
2dfqWgYQVWqF1DJUWc8EoL,"3bgsNtcf5d5h9jbQbohfBK","Golfa","Canciones Prohibidas","Extremoduro",1998-06-08,359546,53,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"indie extremena,spanish rock",0.391,0.693,7,-5.37,1,0.0335,0.563,0.00773,0.154,0.549,149.778,4
7yCF65vpc7sUwPjftI0iFb,"5ksRONqssB7BR161NTtJAm","Happy Nation","Happy Nation","Ace of Base",1992-11-16,255413,74,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"eurodance,europop,new wave pop",0.668,0.864,1,-5.129,1,0.0367,0.00121,0.0043,0.0785,0.672,96.049,4
