id,name,artist,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key,mode
3YVIXYX8FVRYiQfcc47gyb,Sólo los Locos Viven la Libertad,Pedro Pastor,cantautor,0.471,0.916,-6.775,0.453,0.768,0.0,0.984,0.654,105.742,4,7,1
4skuEIloXWuxxgekKupkEH,Tu Falta De Querer,Mon Laferte,latin alternative,0.394,0.475,-7.935,0.028,0.0251,0.00749,0.112,0.441,129.995,3,10,1
0zTSmiDzVkIPUPjsHcUWpe,Disfruto,Carla Morrison,cantautora mexicana,0.433,0.123,-11.234,0.0468,0.887,0.0,0.106,0.137,181.882,4,1,0
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,g funk,0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,4,8,1
3gUE9hxZtrrNytY4YHaQG1,Déjate de cuentos,Brock Ansiolitiko,spanish hip hop,0.867,0.582,-7.004,0.116,0.265,2.71e-05,0.154,0.566,89.011,4,1,1
1hEh8Hc9lBAFWUghHBsCel,Porcelain,Moby,downtempo,0.515,0.613,-8.423,0.0305,0.00147,0.202,0.449,0.357,94.925,4,0,0
1J03Vp93ybKIxfzYI4YJtL,MEGALOVANIA,Toby Fox,indie game soundtrack,0.719,0.632,-9.849,0.0602,0.000377,0.855,0.0362,0.934,119.987,4,7,1
25GrBh4vRCJpb142tggh2E,The Bonfire Behind The Slaughter,Oli Is MLG,,0.485,0.735,-1.853,0.231,0.275,0.0,0.0876,0.973,84.729,1,10,0
2Oql5y6yNB0XUb8OWbi7pq,Flyday Chinatown,EVADE FROM 宇宙,,0.441,0.839,-7.534,0.224,0.173,0.915,0.233,0.9,128.407,4,7,0
0kqWb82ACdjcObDqDqD0zg,"No Tengo Hambre, Tengo Ansiedad",Alan Sutton y las criaturitas de la ansiedad,,0.644,0.727,-5.144,0.121,0.0845,0.0,0.313,0.654,167.922,4,9,0
2vOZZ5frOUXGdlyIqIGnUj,All My Friends Have Dogs,broox,bedroom pop,0.295,0.126,-19.422,0.0422,0.947,0.0113,0.149,0.0773,179.032,3,2,1
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),Daft Punk,electro,0.775,0.585,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,4,10,0
2ZSh2anXpuTLC6utOkavyb,La Violencia,Agarrate Catalina,folklore uruguayo,0.781,0.605,-9.616,0.0957,0.207,0.0,0.09,0.764,95.031,4,6,0
59TvbAzNoYyOGF6WntnZge,A Tu Vera,Los De Marras,punk urbano,0.361,0.864,-3.991,0.0754,0.0115,0.0,0.224,0.529,90.018,4,11,0
4z2EeFUp5Lhai9qhHtA6IF,Salir,Extremoduro,indie extremena,0.316,0.645,-6.206,0.0431,0.291,0.00312,0.109,0.467,160.399,4,7,1
1ey2nYPIpS7qGeZE649t8o,Aqui estoy clean,Missa Sinfonia,latin viral pop,0.364,0.586,-8.147,0.0375,0.0598,0.0,0.101,0.33,190.026,4,10,0
40Tn8Uhu2GHHI64Tw8I7Jt,"El Corrido del ""ABDUZCAN""",Lalothing,rap anime,0.754,0.454,-10.7,0.0632,0.658,0.0,0.0957,0.827,112.483,3,9,0
0xoao6vtEvZxZ7VCv1qji1,Zanguango,Leo Maslíah,canto popular uruguayo,0.671,0.45,-13.198,0.0396,0.275,7.78e-05,0.128,0.9,91.12,4,7,1
3PuB6UwBXxbyu4y1AbJIwv,Un Ratito,Alex Soto,,0.85,0.703,-6.881,0.05,0.484,2.99e-05,0.112,0.913,94.005,4,5,0
0ZLakHzHWqUIlkeDa4i8aC,Runaway,Los Pericos,argentine reggae,0.676,0.731,-5.253,0.0368,0.0438,1.26e-05,0.624,0.812,150.151,4,9,1
3FAclTFfvUuQYnEsptbK8w,Back To Black,Amy Winehouse,british soul,0.434,0.422,-13.964,0.0375,0.134,2.05e-05,0.0861,0.377,123.201,4,7,0
2wZOlqZsq00tdAlsmyh4YK,Gigantes de Arena,La Mente,peruvian rock,0.681,0.794,-6.216,0.107,0.0464,0.0,0.29,0.682,145.78,4,7,1
3ECkz4odYU5HCv36zPYRwQ,Go Go Go Go! - Nightcore Version,Felsenstein,,0.594,0.914,-5.75,0.0956,0.00349,0.0142,0.4,0.639,168.514,4,4,0
3d0SOLPqIBXkPZYl0CwhD7,Noches en Babylon,La Raíz,ska espanol,0.888,0.716,-6.157,0.0863,0.0451,0.0,0.107,0.744,95.982,4,7,1
0BGwAKW4u8kWOhWFflZxfl,Astronaut In The Ocean,Masked Wolf,australian hip hop,0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,4,4,0
2uhTEPAQvGHa69xwEEFEpE,Una Canción para No Decir Te Quiero,La Maravillosa Orquesta del Alcohol,spanish indie pop,0.28,0.541,-7.424,0.0392,0.0605,0.0,0.14,0.42,69.114,4,4,0
1XbkYc0szlepSM3Na5EcG5,Kualqiier Dia,Boikot,hardcore punk espanol,0.593,0.977,-4.015,0.159,0.00228,3.79e-06,0.0873,0.213,107.535,4,11,0
3IfUwAUPyHvq5vfRMXK1WO,My head is spinning like a screw (Моя голова винтом),kostromin,,0.833,0.748,-5.963,0.229,0.0331,1.44e-06,0.0728,0.484,119.925,4,1,1
6xqJ0XqDM9dVEW1jbm78wB,Discord,The Living Tombstone,otacore,0.677,0.83,-4.358,0.0452,0.00806,3.35e-05,0.0788,0.829,104.994,4,8,0
1ovFnZv6mUe0LzAbfVqOmh,Dark Side,Blind Channel,oulu metal,0.571,0.955,-3.795,0.105,0.00254,1.55e-06,0.274,0.437,98.01,4,7,1
47enw9R1hdkfuxeSjoDQ0N,Paparazzi,Kim Dracula,viral rap,0.677,0.685,-5.643,0.0505,0.0739,0.0,0.107,0.177,91.008,4,4,0
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,0.61,0.508,-6.682,0.152,0.297,0.0,0.384,0.758,178.818,4,8,0
5PXOPTdFcIJIumTvhDVpid,Kuntur,Lucho Quequezana,andean flute,0.662,0.685,-7.457,0.032,0.628,0.207,0.0926,0.492,149.613,3,9,0
1Ahb1lGCvsRSlmThubFzsy,Triciclo Perú,Los Mojarras,peruvian indie,0.448,0.882,-5.683,0.147,0.0171,0.0304,0.0775,0.803,173.493,4,9,0
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,latin pop,0.826,0.773,-4.218,0.0524,0.323,0.0,0.143,0.761,126.899,4,11,0
4OgwXdylh75fHfwUzJTUqg,Rockstar,Ilkay Sencan,turkish deep house,0.771,0.826,-3.978,0.0604,0.142,0.03,0.145,0.185,100.012,4,11,1
5QVX2tGOF4w19BHtWPNpFu,Astronaut In The Ocean,Arem Ozguc,turkish edm,0.712,0.867,-5.623,0.0581,0.0134,0.00939,0.196,0.544,126.005,4,4,0
6ScI1xf3RszISXvLGmitY3,Corazon de mimbre,Marea,punk urbano,0.521,0.928,-3.548,0.0837,0.0235,0.0,0.0961,0.323,90.555,4,9,0
3FS2e59gXFXrcg7sN2mL5z,Shots & Squats,Vigiland,deep pop edm,0.818,0.819,-5.052,0.116,0.00824,0.000392,0.225,0.279,128.02,4,1,1
0cOXDRG1giESc1QVrHpbGE,Amateur (Rock Me Amadeus),Molotov,latin alternative,0.537,0.777,-5.129,0.121,0.0119,1.37e-05,0.254,0.543,85.011,4,0,1
3qvoWt50uOnKulCDVNkrWT,Hit The Deep End,Jordan Phoenix,,0.592,0.731,-6.624,0.482,0.401,0.0,0.278,0.439,97.185,3,4,1
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,indie rock italiano,0.714,0.8,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002,4,11,0
7GV2Vhko6RZloD7DmGUUFJ,La Gravedad de la Teoría,Albertucho,punk urbano,0.604,0.656,-7.708,0.032,0.149,0.000393,0.0982,0.531,117.116,4,6,1
5f8T1Lbd35nauMBA3JfpJj,Descuida,Albertucho,punk urbano,0.451,0.599,-7.181,0.0619,0.0725,1.43e-06,0.107,0.305,169.953,4,9,0
4bO6qABw4zTcA9mp37Q5uI,Capitán Cobarde,Albertucho,punk urbano,0.587,0.512,-6.658,0.0386,0.435,2.51e-06,0.155,0.267,119.948,4,0,1
